"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","01_15～19歳","","5,438","1,842","1,440","448","74","88","64","36","357","5","0","0","10","25","53","106","52","43","42","3","15","2","16","611","472","357"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","02_20～24歳","","3,450","1,674","1,440","468","79","88","59","269","119","14","1","6","18","28","53","104","22","53","11","4","25","3","15","635","486","319"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","03_25～29歳","","4,436","2,176","1,440","458","73","84","52","364","15","36","1","44","19","31","54","94","20","50","6","3","23","2","12","615","530","295"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","04_30～34歳","","5,957","2,674","1,440","453","76","86","50","340","4","69","2","80","23","30","56","87","7","38","6","3","16","5","11","615","567","258"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","05_35～39歳","","7,207","3,013","1,440","444","79","90","44","329","3","83","2","63","26","33","68","89","7","32","7","3","17","6","14","613","551","277"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","06_40～44歳","","8,877","3,450","1,440","432","80","93","46","329","3","103","4","29","26","33","83","95","5","34","8","4","17","3","13","604","541","296"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","07_45～49歳","","7,476","2,888","1,440","417","80","94","46","329","4","109","4","10","28","30","103","94","8","36","9","3","16","5","15","592","531","318"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","08_50～54歳","","6,055","2,135","1,440","414","80","95","44","327","4","107","4","3","29","34","114","91","8","37","10","3","16","7","16","589","517","334"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","09_55～59歳","","4,596","1,549","1,440","414","77","98","46","300","3","99","7","2","33","32","144","83","8","37","11","5","16","6","18","589","490","361"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","10_60～64歳","","3,773","1,116","1,440","426","84","108","29","206","1","108","7","4","33","37","178","90","11","47","15","9","18","9","20","618","388","434"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","11_65～69歳","","3,389","1,094","1,440","446","85","113","16","112","4","104","6","4","32","40","212","88","18","71","27","10","19","7","25","644","278","518"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","12_70～74歳","","1,807","569","1,440","455","91","120","6","67","1","93","5","3","37","40","223","88","23","77","33","17","20","14","28","666","212","562"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","13_75～79歳","","958","303","1,440","460","93","125","7","37","1","110","7","3","32","36","231","89","29","75","32","11","18","10","33","678","198","564"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","14_80～84歳","","432","162","1,440","480","95","133","6","24","2","76","4","1","28","39","243","89","34","77","28","20","13","19","27","708","142","590"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","15_85歳以上","","115","39","1,440","527","68","114","4","23","1","88","11","0","33","19","226","163","26","56","13","0","22","22","24","709","159","572"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","R1_(再掲)20歳以上","","58,528","22,842","1,440","438","80","94","44","298","13","84","3","29","26","32","100","92","11","42","11","4","18","5","15","612","498","331"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","R2_(再掲)35歳以上","","44,685","16,318","1,440","430","81","97","40","285","3","100","4","21","29","33","118","91","9","41","12","5","17","6","17","608","483","349"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","R3_(再掲)65歳以上","","6,701","2,168","1,440","454","88","118","11","81","2","100","5","3","33","39","220","90","22","73","30","12","18","10","27","661","237","543"
